Country,GDP_Per_Capita,Life_Expectancy,Literacy_Rate
Luxembourg,146818.0,83.36,100.0
Ireland,129132.0,82.86,99.0
Switzerland,111047.0,84.06,99.0
Iceland,98150.0,82.61,99.0
Singapore,94481.0,82.9,97.5
Norway,91884.0,83.11,100.0
Denmark,76581.0,81.85,99.0
Netherlands,73174.0,81.91,99.0
Qatar,71441.0,82.37,93.5
Australia,65946.0,83.05,99.0
Sweden,62036.0,83.31,99.0
Austria,61694.0,81.54,98.0
Belgium,60418.0,82.4,99.0
Israel,60009.0,83.2,97.8
Germany,59925.0,80.54,99.0
United Kingdom,56661.0,81.24,99.0
Finland,56084.0,81.69,100.0
Canada,54935.0,81.65,99.0
United Arab Emirates,51348.0,82.91,97.6
Andorra,49451.0,84.04,100.0
New Zealand,49383.0,83.0,99.0
Malta,49277.0,83.51,94.5
France,48982.0,82.93,99.0
Italy,43161.0,83.7,99.2
Bahamas,39726.0,74.55,96.0
Spain,38040.0,83.88,98.6
Slovenia,37178.0,81.98,99.7
Brunei,37020.0,75.33,97.2
South Korea,35962.0,83.43,98.0
Saudi Arabia,35231.0,78.73,97.6
Japan,34713.0,84.04,99.0
Estonia,34041.0,78.49,99.8
Lithuania,32982.0,76.99,99.8
Portugal,31415.0,82.28,96.1
Guyana,31378.0,70.18,88.5
Kuwait,30805.0,83.19,96.5
Bahrain,29253.0,81.28,97.5
Slovakia,28524.0,78.02,100.0
Poland,28485.0,78.51,99.8
Greece,27170.0,81.54,97.9
Croatia,26958.0,78.47,99.3
Barbados,25927.0,76.18,99.6
Hungary,25916.0,76.77,99.1
Latvia,25630.0,75.68,99.9
Uruguay,24380.0,78.14,98.8
Romania,22436.0,76.61,98.8
Antigua and Barbuda,22314.0,77.6,99.0
Seychelles,21956.0,74.96,95.9
Bulgaria,20426.0,75.71,98.4
Panama,19802.0,79.59,95.7
Oman,19119.0,80.03,95.7
Costa Rica,19104.0,80.8,97.9
Maldives,18684.0,81.04,97.7
Turkey,18198.0,77.16,96.7
Trinidad and Tobago,18121.0,73.49,99.0
Russia,17446.0,73.25,99.7
Chile,17181.0,81.17,96.3
Serbia,15322.0,76.22,99.5
Montenegro,14986.0,77.59,98.8
Kazakhstan,14723.0,74.4,99.8
Argentina,14359.0,77.39,99.0
Mexico,13967.0,75.07,95.2
Malaysia,13901.0,76.66,95.0
Mauritius,13099.0,73.41,91.3
Grenada,12544.0,75.2,98.6
Dominican Republic,11919.0,73.72,93.8
Albania,11108.0,79.6,98.1
Turkmenistan,10801.0,70.07,99.7
Brazil,10578.0,75.85,93.2
North Macedonia,10378.0,75.32,98.4
Dominica,9944.0,71.13,92.0
Bosnia and Herzegovina,9648.0,77.85,98.5
Belarus,9435.0,74.18,99.9
Gabon,9303.0,68.34,84.7
Peru,9256.0,77.74,94.5
Armenia,8969.0,77.47,99.8
Jamaica,8405.0,71.48,88.7
Colombia,8249.0,77.72,95.6
Equatorial Guinea,8229.0,63.71,95.3
Thailand,7942.0,76.41,93.8
Belize,7897.0,73.57,83.0
Azerbaijan,7365.0,74.43,99.8
Ecuador,7210.0,77.39,93.6
Mongolia,7005.0,72.12,99.2
Botswana,6943.0,69.16,88.5
Libya,6866.0,69.34,91.0
Suriname,6843.0,73.63,94.4
Fiji,6825.0,67.32,99.1
Paraguay,6799.0,73.84,94.5
South Africa,6667.0,66.14,95.0
Guatemala,6478.0,72.6,80.8
Algeria,6095.0,76.26,81.4
Tonga,5921.0,72.89,99.4
Samoa,5887.0,71.7,99.1
Iraq,5832.0,72.32,85.6
El Salvador,5744.0,72.1,89.1
Lebanon,52822024.0,77.82,95.1
Micronesia,5241.0,67.2,99.0
Indonesia,5074.0,71.15,96.0
Jordan,4908.0,77.81,98.2
Namibia,4816.0,67.39,91.5
Morocco,4763.0,75.31,73.8
Tunisia,4752.0,76.51,81.8
Vietnam,4745.0,74.59,95.8
Bolivia,4585.0,68.58,92.5
Eswatini,4410.0,64.12,88.4
Sri Lanka,43252024.0,77.48,92.3
Philippines,4321.0,69.83,96.3
Bhutan,4285.0,72.97,66.6
Iran,4074.0,77.65,85.5
Uzbekistan,3647.0,72.39,100.0
Honduras,3637.0,72.88,88.5
Ghana,3193.0,65.5,79.0
Egypt,3191.0,71.63,71.2
Vanuatu,3133.0,71.48,87.5
Venezuela,3103.0,72.51,97.1
Nicaragua,2953.0,74.95,82.6
Angola,2931.0,64.62,71.1
India,2818.0,72.0,74.4
Cambodia,2812.0,70.67,80.5
Kyrgyzstan,2790.0,72.25,99.6
Bangladesh,2734.0,74.67,74.66
Zimbabwe,2656.0,62.77,86.5
Mauritania,2582.0,68.48,53.5
Papua New Guinea,2555.0,66.13,64.2
Kenya,2549.0,63.65,81.5
Haiti,2461.0,64.94,61.7
Solomon Islands,2386.0,70.53,77.0
Laos,2174.0,68.96,84.7
Cameroon,2027.0,63.7,77.1
Senegal,1921.0,68.68,51.9
Comoros,1773.0,66.78,58.8
Guinea,1741.0,60.74,39.6
Pakistan,1707.0,67.65,58.0
Tajikistan,1644.0,71.79,99.8
Benin,1635.0,60.77,42.4
Nepal,1535.0,70.35,67.9
Timor-Leste,1508.0,67.69,68.1
Uganda,1353.0,68.25,76.5
Zambia,1353.0,66.35,86.7
Guinea-Bissau,1225.0,64.08,59.9
Nigeria,1200.0,54.46,62.0
Chad,1139.0,55.07,22.3
Togo,1120.0,62.74,66.5
Burkina Faso,1115.0,61.09,39.3
Myanmar,1097.0,66.89,89.1
Rwanda,1043.0,67.78,73.2
Mali,1014.0,60.44,35.5
Lesotho,1001.0,57.38,79.4
Ethiopia,994.0,67.31,51.8
Sierra Leone,980.0,61.79,43.2
Liberia,904.0,62.16,48.3
Gambia,890.0,65.86,50.8
Niger,789.0,61.18,35.1
DR Congo,772.0,61.9,77.0
Somalia,763.0,58.82,39.0
Sudan,712.0,66.33,60.7
Mozambique,690.0,63.61,60.7
Malawi,622.0,67.35,62.1
Madagascar,616.0,63.63,76.7
Central African Republic,599.0,57.41,37.4
Burundi,486.0,63.65,68.4
Afghanistan,4172024.0,66.03,37.3
South Sudan,313.0,57.62,34.5
