Countries and territories,2023,2023,2023,2023,Historical data,Historical data,Historical data,Historical data,Historical data,Historical data,Historical data,Historical data,Historical data,Historical data,Historical data,recovery from COVID-19: 2019→2023,Unnamed: 17_level_0
Countries and territories,All,Male,Female,Sex gap,2014,2014 →2019,2019,2019 →2020,2020,2020 →2021,2021,2021 →2022,2022,2022 →2023,2023,recovery from COVID-19: 2019→2023,Unnamed: 17_level_1
"Hong Kong SAR, China",85.25,82.54,88.09,5.55,83.94,1.22,85.16,0.34,85.5,0.04,85.53,−1.87,83.66,1.59,85.25,0.09,
French Polynesia,84.07,81.78,86.5,4.73,82.15,1.04,83.19,−0.74,82.46,−2.89,79.57,4.29,83.86,0.21,84.07,0.88,
Switzerland,84.06,82.3,85.9,3.6,83.2,0.71,83.9,−0.90,83.0,0.75,83.75,−0.15,83.6,0.45,84.06,0.15,
Japan,84.04,81.09,87.14,6.05,83.59,0.77,84.36,0.20,84.56,−0.11,84.45,−0.45,84.0,0.04,84.04,−0.32,
Andorra,84.04,82.1,86.11,4.01,84.48,−0.39,84.1,−4.68,79.42,2.91,82.33,1.69,84.02,0.02,84.04,−0.06,
Spain,83.88,81.2,86.7,5.5,83.23,0.60,83.83,−1.60,82.23,0.95,83.18,−0.04,83.13,0.75,83.88,0.05,
Italy,83.7,81.7,85.8,4.1,83.09,0.41,83.5,−1.30,82.2,0.45,82.65,0.05,82.7,1.00,83.7,0.20,
Malta,83.51,81.8,85.3,3.5,82.05,0.61,82.66,−0.56,82.1,0.16,82.26,0.19,82.45,1.06,83.51,0.85,
South Korea,83.43,80.6,86.4,5.8,81.72,1.50,83.23,0.20,83.43,0.10,83.53,−0.85,82.68,0.75,83.43,0.20,
Luxembourg,83.36,81.7,85.1,3.4,82.23,0.41,82.64,−0.50,82.14,0.45,82.6,0.35,82.95,0.41,83.36,0.72,
Sweden,83.31,81.7,85.0,3.3,82.25,0.86,83.11,−0.75,82.36,0.70,83.06,0.00,83.06,0.25,83.31,0.20,
Israel,83.2,81.0,85.5,4.5,82.15,0.65,82.8,−0.16,82.65,−0.15,82.5,0.20,82.7,0.50,83.2,0.39,
Kuwait,83.19,82.7,83.7,1.0,79.08,2.89,81.97,−3.21,78.76,−0.02,78.74,1.85,80.59,2.60,83.19,1.22,
"Macao SAR, China",83.18,80.4,86.1,5.7,83.02,0.91,83.93,0.20,84.13,−0.40,83.73,−0.65,83.08,0.10,83.18,−0.75,
Faroe Islands,83.14,80.9,85.5,4.6,81.59,0.85,82.44,0.20,82.64,0.20,82.84,0.10,82.94,0.20,83.14,0.70,
Norway,83.11,81.6,84.7,3.1,82.1,0.86,82.96,0.25,83.21,−0.05,83.16,−0.65,82.51,0.60,83.11,0.15,
Australia,83.05,81.1,85.1,4.0,82.3,0.60,82.9,0.30,83.2,0.10,83.3,−0.10,83.2,−0.15,83.05,0.15,
New Zealand,83.0,81.2,84.9,3.7,81.46,0.60,82.06,0.20,82.26,−0.05,82.21,−0.25,81.96,1.05,83.0,0.95,
France,82.93,80.1,85.9,5.8,82.72,0.11,82.83,−0.65,82.18,0.15,82.32,−0.20,82.13,0.80,82.93,0.10,
United Arab Emirates,82.91,81.98,84.2,2.23,81.99,0.61,82.6,−0.66,81.94,−2.85,79.08,1.40,80.49,2.42,82.91,0.31,
Singapore,82.9,80.7,85.2,4.5,82.5,1.10,83.6,−0.05,83.54,−0.45,83.09,−0.20,82.9,0.00,82.9,−0.70,
Ireland,82.86,81.3,84.5,3.2,81.35,1.35,82.7,−0.25,82.46,−0.20,82.25,0.26,82.51,0.35,82.86,0.16,
Iceland,82.61,80.9,84.4,3.5,82.86,0.30,83.16,−0.10,83.06,0.10,83.17,−1.05,82.12,0.49,82.61,−0.56,
Belgium,82.4,80.3,84.6,4.3,81.29,0.71,82.0,−1.30,80.7,1.10,81.79,−0.04,81.75,0.65,82.4,0.40,
Qatar,82.37,81.61,83.37,1.76,81.39,1.55,82.94,−2.54,80.41,0.67,81.08,0.77,81.86,0.51,82.37,−0.58,
Bermuda,82.31,78.86,85.74,6.89,80.2,1.05,81.25,0.20,81.46,0.29,81.75,0.32,82.06,0.25,82.31,1.06,
Portugal,82.28,79.5,85.2,5.7,81.12,0.55,81.68,−0.35,81.33,0.05,81.38,0.25,81.63,0.65,82.28,0.60,
Slovenia,81.98,79.1,85.0,5.9,81.08,0.45,81.53,−1.00,80.53,0.14,80.68,0.61,81.28,0.70,81.98,0.45,
Netherlands,81.91,80.5,83.4,2.9,81.71,0.40,82.11,−0.75,81.36,−0.05,81.31,0.30,81.61,0.30,81.91,−0.20,
Denmark,81.85,80.0,83.8,3.8,80.7,0.75,81.45,0.15,81.6,−0.20,81.4,−0.10,81.3,0.55,81.85,0.40,
Puerto Rico,81.69,78.03,85.24,7.21,80.04,1.40,81.44,−1.43,80.01,−0.24,79.77,−0.34,79.43,2.26,81.69,0.25,
Finland,81.69,79.1,84.4,5.3,81.18,0.80,81.98,−0.05,81.93,−0.05,81.89,−0.70,81.19,0.50,81.69,−0.30,
Cyprus,81.65,79.64,83.67,4.03,81.34,0.12,81.45,−0.22,81.23,−0.66,80.57,−0.14,80.43,1.21,81.65,0.19,
Canada,81.65,79.51,83.89,4.38,81.78,0.38,82.16,−0.63,81.54,−0.02,81.52,−0.27,81.25,0.40,81.65,−0.52,
Austria,81.54,79.2,84.0,4.8,81.49,0.40,81.9,−0.70,81.19,0.00,81.19,0.10,81.3,0.25,81.54,−0.35,
Greece,81.54,79.0,84.2,5.2,81.39,0.25,81.64,−0.35,81.29,−1.20,80.08,0.70,80.79,0.75,81.54,−0.10,
Bahrain,81.28,80.67,81.99,1.31,80.21,0.26,80.47,−1.79,78.68,−0.60,78.08,2.91,80.99,0.29,81.28,0.81,
United Kingdom,81.24,79.36,83.21,3.85,81.3,0.06,81.37,−1.04,80.33,0.32,80.65,0.36,81.01,0.23,81.24,−0.13,
Chile,81.17,79.24,83.08,3.84,79.71,0.61,80.32,−0.97,79.35,−0.47,78.88,0.30,79.18,1.99,81.17,0.84,
Channel Islands,81.1,79.0,83.2,4.2,81.6,−0.40,81.2,−0.30,80.9,−0.60,80.3,0.70,81.0,0.10,81.1,−0.10,
Maldives,81.04,79.69,82.82,3.13,78.19,1.52,79.71,−0.99,78.71,−0.66,78.05,2.71,80.76,0.28,81.04,1.33,
Isle of Man,81.0,78.93,83.13,4.21,80.2,0.54,80.74,−0.15,80.59,−0.17,80.42,0.54,80.96,0.04,81.0,0.26,
Costa Rica,80.8,78.13,83.42,5.29,80.23,0.07,80.3,−0.57,79.72,−1.67,78.05,1.27,79.32,1.48,80.8,0.50,
Germany,80.54,78.2,83.0,4.8,81.09,0.20,81.29,−0.25,81.04,−0.25,80.79,−0.18,80.61,−0.07,80.54,−0.75,
Virgin Islands (U.S.),80.52,77.3,83.9,6.6,78.87,0.80,79.67,0.15,79.82,0.25,80.07,0.25,80.32,0.20,80.52,0.85,
Cayman Islands,80.36,77.98,82.87,4.89,77.86,1.19,79.05,0.18,79.23,0.07,79.3,0.68,79.98,0.37,80.36,1.31,
Oman,80.03,78.49,81.88,3.39,79.03,0.92,79.95,−2.18,77.76,−1.79,75.97,1.94,77.91,2.12,80.03,0.09,
Czechia,79.88,77.0,82.9,5.9,78.82,0.40,79.23,−1.00,78.23,−1.00,77.22,1.71,78.93,0.95,79.88,0.65,
Albania,79.6,77.73,81.45,3.72,78.03,1.44,79.47,−1.64,77.82,−0.98,76.84,1.93,78.77,0.83,79.6,0.14,
Panama,79.59,76.65,82.56,5.9,77.36,1.15,78.51,−2.18,76.33,0.67,77.0,2.32,79.32,0.27,79.59,1.08,
Northern Mariana Islands,78.81,77.13,80.74,3.61,77.38,0.47,77.84,0.19,78.03,0.13,78.16,0.37,78.53,0.28,78.81,0.96,
