Country,GDP_Per_Capita,Life_Expectancy,Literacy_Rate,GDP_Per_Capita_ZScore,Life_Expectancy_ZScore,Literacy_Rate_ZScore,Efficiency_Gap
Luxembourg,146818.0,83.36,100.0,-0.09088715899655408,1.396432158682139,0.7649887904448972,1.4873193176786932
Ireland,129132.0,82.86,99.0,-0.09421158533875615,1.3274575920721332,0.7109967083525924,1.4216691774108894
Switzerland,111047.0,84.06,99.0,-0.09761101146104069,1.4929965519361477,0.7109967083525924,1.5906075633971883
Iceland,98150.0,82.61,99.0,-0.10003525247287944,1.2929703087671303,0.7109967083525924,1.3930055612400096
Singapore,94481.0,82.9,97.5,-0.10072491210476564,1.3329755574009345,0.6300085852141352,1.4337004695057
Norway,91884.0,83.11,100.0,-0.10121306856810945,1.3619448753771362,0.7649887904448972,1.4631579439452456
Denmark,76581.0,81.85,99.0,-0.10408956389292673,1.1881289675199205,0.7109967083525924,1.2922185314128471
Netherlands,73174.0,81.91,99.0,-0.10472997554891918,1.1964059155131215,0.7109967083525924,1.3011358910620408
Qatar,71441.0,82.37,93.5,-0.10505572647343779,1.259862516794328,0.414040256844916,1.3649182432677658
Australia,65946.0,83.05,99.0,-0.10608861818159115,1.3536679273839352,0.7109967083525924,1.4597565455655264
Sweden,62036.0,83.31,99.0,-0.10682357843252466,1.3895347020211388,0.7109967083525924,1.4963582804536635
Austria,61694.0,81.54,98.0,-0.10688786395830964,1.1453647362217185,0.6570046262602875,1.2522526001800283
Belgium,60418.0,82.4,99.0,-0.10712771287907465,1.2640009907909286,0.7109967083525924,1.3711287036700033
Israel,60009.0,83.2,97.8,-0.10720459235289352,1.3743602973669375,0.6462062098418265,1.481564889719831
Germany,59925.0,80.54,99.0,-0.1072203817802793,1.0074156030017065,0.7109967083525924,1.1146359847819858
United Kingdom,56661.0,81.24,99.0,-0.10783391381584119,1.1039799962557133,0.7109967083525924,1.2118139100715546
Finland,56084.0,81.69,100.0,-0.10794237214443163,1.1660571062047191,0.7649887904448972,1.2739994783491508
Canada,54935.0,81.65,99.0,-0.10815834895474433,1.1605391408759196,0.7109967083525924,1.268697489830664
United Arab Emirates,51348.0,82.91,97.6,-0.10883259509799202,1.3343550487331333,0.6354077934233654,1.4431876438311253
Andorra,49451.0,84.04,100.0,-0.10918917299978764,1.490237569271748,0.7649887904448972,1.5994267422715356
New Zealand,49383.0,83.0,99.0,-0.10920195491719518,1.3467704707229349,0.7109967083525924,1.45597242564013
Malta,49277.0,83.51,94.5,-0.10922187967080105,1.4171245286651415,0.4680323389372208,1.5263464083359426
France,48982.0,82.93,99.0,-0.10927733063602493,1.337114031397535,0.7109967083525924,1.4463913620335598
Italy,43161.0,83.7,99.2,-0.11037150035998503,1.4433348639769434,0.7217951247710535,1.5537063643369284
Bahamas,39726.0,74.55,96.0,-0.11101717515843941,0.1811002950138345,0.549020462075678,0.2921174701722739
Spain,38040.0,83.88,98.6,-0.11133409152239693,1.4681657079565447,0.6893998755156702,1.5794997994789415
Slovenia,37178.0,81.98,99.7,-0.11149612112247485,1.2060623548385234,0.748791165817206,1.3175584759609982
Brunei,37020.0,75.33,97.2,-0.11152582028351002,0.2887006189254439,0.6138109605864439,0.40022643920895395
South Korea,35962.0,83.43,98.0,-0.11172469188082143,1.4060885980075408,0.6570046262602875,1.5178132898883623
Saudi Arabia,35231.0,78.73,97.6,-0.11186209749295248,0.7577276718734849,0.6354077934233654,0.8695897693664374
Japan,34713.0,84.04,99.0,-0.11195946562849815,1.490237569271748,0.7109967083525924,1.6021970349002461
Estonia,34041.0,78.49,99.8,-0.11208578104758442,0.7246198799006808,0.7541903740264361,0.8367056609482652
Lithuania,32982.0,76.99,99.8,-0.11228484061426948,0.5176961800706631,0.7541903740264361,0.6299810206849326
Portugal,31415.0,82.28,96.1,-0.1125793886227638,1.2474470948045264,0.5544196702849081,1.3600264834272902
Guyana,31378.0,70.18,88.5,-0.1125863434895885,-0.4217374171576158,0.14407984638339205,-0.3091510736680273
Kuwait,30805.0,83.19,96.5,-0.11269404994068438,1.3729808060347368,0.5760165031218304,1.4856748559754211
Bahrain,29253.0,81.28,97.5,-0.1129857784085741,1.1094979615845146,0.6300085852141352,1.2224837399930888
Slovakia,28524.0,78.02,100.0,-0.11312280808195786,0.6597837872872754,0.7649887904448972,0.7729065953692332
Poland,28485.0,78.51,99.8,-0.11313013888752985,0.7273788625650824,0.7541903740264361,0.8405090014526123
Greece,27170.0,81.54,97.9,-0.11337731861386681,1.1453647362217185,0.6516054180510574,1.2587420548355854
Croatia,26958.0,78.47,99.3,-0.11341716812107855,0.7218608972362811,0.7271943329802837,0.8352780653573597
Barbados,25927.0,76.18,99.6,-0.11361096454530169,0.40595738216245514,0.7433919576079749,0.5195683467077569
Hungary,25916.0,76.77,99.1,-0.11361303220841174,0.48734737076226065,0.7163959165618226,0.6009604029706723
Latvia,25630.0,75.68,99.9,-0.11366679144927284,0.33698281555244924,0.759589582235667,0.4506496070017221
Uruguay,24380.0,78.14,98.8,-0.1139017531663232,0.6763376832736775,0.7001982919341313,0.7902394364400007
Romania,22436.0,76.61,98.8,-0.11426716562867992,0.4652755094470592,0.7001982919341313,0.5795426750757391
Antigua and Barbuda,22314.0,77.6,99.0,-0.11429009789226403,0.6018451513348702,0.7109967083525924,0.7161352492271342
Seychelles,21956.0,74.96,95.9,-0.11435739092802726,0.2376594396340389,0.5436212538664479,0.3520168305620662
