Country,GDP_Per_Capita,Life_Expectancy,Literacy_Rate,GDP_Per_Capita_ZScore,Life_Expectancy_ZScore,Literacy_Rate_ZScore,Efficiency_Gap
Lebanon,52822024.0,77.82,95.1,9.81043831919639,0.6321939606432726,0.5004275881926034,-9.178244358553117
Sri Lanka,43252024.0,77.48,92.3,8.011571413458869,0.5852912553484702,0.3492497583341501,-7.426280158110399
Nigeria,1200.0,54.46,62.0,-0.11825888324730499,-2.5902977913762024,-1.286710329062685,-2.4720389081288974
Chad,1139.0,55.07,22.3,-0.11827034937909706,-2.5061488201119952,-3.4301959881271853,-2.387878470732898
Lesotho,1001.0,57.38,79.4,-0.11829628915265941,-2.187486322373768,-0.34724810065658124,-2.0691900332211084
Central African Republic,599.0,57.41,37.4,-0.11837185284086281,-2.1833478483771684,-2.614915548533383,-2.064975995536306
South Sudan,313.0,57.62,34.5,-0.11842561208172393,-2.1543785304009657,-2.7714925866010667,-2.035952918319242
Somalia,763.0,58.82,39.0,-0.1183410258635858,-1.988839570536951,-2.5285282171856953,-1.8704985446733653
Afghanistan,4172024.0,66.03,37.3,0.66572829159656,-0.9942263200206657,-2.6203147567426135,-1.6599546116172257
Mali,1014.0,60.44,35.5,-0.1182938455508021,-1.7653619747205322,-2.717500504508762,-1.6470681291697302
