Country,GDP_Per_Capita,Life_Expectancy,Literacy_Rate,GDP_Per_Capita_ZScore,Life_Expectancy_ZScore,Literacy_Rate_ZScore,Efficiency_Gap
Japan,34713.0,84.04,99.0,-0.11195946562849815,1.490237569271748,0.7109967083525924,1.6021970349002461
Andorra,49451.0,84.04,100.0,-0.10918917299978764,1.490237569271748,0.7649887904448972,1.5994267422715356
Switzerland,111047.0,84.06,99.0,-0.09761101146104069,1.4929965519361477,0.7109967083525924,1.5906075633971883
Spain,38040.0,83.88,98.6,-0.11133409152239693,1.4681657079565447,0.6893998755156702,1.5794997994789415
Italy,43161.0,83.7,99.2,-0.11037150035998503,1.4433348639769434,0.7217951247710535,1.5537063643369284
Malta,49277.0,83.51,94.5,-0.10922187967080105,1.4171245286651415,0.4680323389372208,1.5263464083359426
South Korea,35962.0,83.43,98.0,-0.11172469188082143,1.4060885980075408,0.6570046262602875,1.5178132898883623
Sweden,62036.0,83.31,99.0,-0.10682357843252466,1.3895347020211388,0.7109967083525924,1.4963582804536635
Luxembourg,146818.0,83.36,100.0,-0.09088715899655408,1.396432158682139,0.7649887904448972,1.4873193176786932
Kuwait,30805.0,83.19,96.5,-0.11269404994068438,1.3729808060347368,0.5760165031218304,1.4856748559754211
